StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,samtycke,hon1,hon2,hon3,han1,han2,han3,hen1,hen2,hen3,control1,control2,control3,30f1,30f2,30f3,30f5,30f10,50f10,50f11,50f3,50f7,50f8,50f9,5030f7,50f12,50f17,50f13,75f1,75f2,75f4,75f5,70f3,Q60,Q62,GIS_1,GIS_2,GIS_3,GIS_4,essentialism_1,essentialism_2,essentialism_3,essentialism_4,essentialism_5,essentialism_6,essentialism_7,essentialism_8,hen_attitudes_1,hen_attitudes_2,hen_attitudes_3,hen_use,hen_hear,hen_fam,hen_fam_4_TEXT,Q66,Q68,Q70,Q72,token,han1 - Parent Topics,han1 - Topics
2020-11-12 05:47:44,2020-11-12 05:52:52,IP Address,95.140.187.146,100,308,True,2020-11-12 05:52:53,R_2atXVBOsj2yXRo5,,,,,59.931793212890625,16.8582000732421875,anonymous,EN,Jag har läst informationen ovan och samtycker till att vara med i studien,,,,,,,Hen paddlar,Hen står och paddlar SUP,"Hen försöker ta sig framåt med hjälp av en paddel ",,,,Man,Man,Man,Man,Man,Man,Kvinna,Kvinna,Man,Icke-binär,Man,Icke-binär,Kvinna,Icke-binär,Vet ej,Man,Kvinna,Kvinna,Kvinna,Icke-binär,27,Kvinna,4,3,2,5,3,"Stämmer inte alls
1",3,5,4,3,5,"Stämmer inte alls
1",4,6,6,Någon gång om året,Någon gång per vecka,"Nej, känner ingen som använder hen som sitt pronomen",,"Vad som anses lviööingt och manligt. Könstillhörighet ",Nej,,Ja,atbrxdu,,
2020-11-12 06:03:33,2020-11-12 06:13:22,IP Address,81.231.10.98,100,588,True,2020-11-12 06:13:22,R_6tcEfwMTPDNbc4N,,,,,56.1356048583984375,13.1309051513671875,anonymous,EN,Jag har läst informationen ovan och samtycker till att vara med i studien,,,,han står på en surfbräda,Han paddlar,Han är stark,,,,,,,Man,Man,Vet ej,Man,Man,Kvinna,Kvinna,Kvinna,Vet ej,Kvinna,Kvinna,Kvinna,Vet ej,Vet ej,Kvinna,Vet ej,Kvinna,Kvinna,Kvinna,Kvinna,60,kvinna,6,6,"Stämmer inte alls
1",6,"Stämmer helt
7",4,3,"Stämmer helt
7","Stämmer helt
7","Stämmer inte alls
1",5,"Stämmer inte alls
1","Mycket dåligt
1","Mycket dåligt
1",6,Aldrig,Någon gång i månaden,"Nej, känner ingen som använder hen som sitt pronomen",,genus,nej,nej,nej,bectxuz,,
2020-11-12 06:30:10,2020-11-12 06:39:32,IP Address,83.233.199.95,100,562,True,2020-11-12 06:39:33,R_3h0jpt0RraQ2M7W,,,,,56.8777008056640625,14.8090972900390625,anonymous,EN,Jag har läst informationen ovan och samtycker till att vara med i studien,Hon paddlar stående kanot,Hennes vänster hand är över höger handen på paddeln.,Hon lutar åt höger.,,,,,,,,,,Man,Man,Kvinna,Man,Man,Icke-binär,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Man,Icke-binär,Icke-binär,Man,Man,Kvinna,Kvinna,Kvinna,Kvinna,35,Kvinna,"Stämmer helt
7","Stämmer inte alls
1","Stämmer inte alls
1","Stämmer helt
7","Stämmer inte alls
1","Stämmer inte alls
1","Stämmer inte alls
1","Stämmer inte alls
1",5,"Stämmer inte alls
1","Stämmer helt
7","Stämmer helt
7","Mycket bra
7",6,"Mycket bra
7",Dagligen,Dagligen,"Nej, känner ingen som använder hen som sitt pronomen",,Kön och genus,Nej,Nej,Nej,aucdzeh,,
2020-11-12 06:36:41,2020-11-12 06:44:17,IP Address,188.151.117.113,100,455,True,2020-11-12 06:44:17,R_1n2wGQm23XTJ9X6,,,,,59.328704833984375,18.0717010498046875,anonymous,EN,Jag har läst informationen ovan och samtycker till att vara med i studien,,,,,,,,,,Personen kör stand up padel board,Personen står framåtlutad,Personen ror,Man,Man,Man,Man,Man,Icke-binär,Icke-binär,Icke-binär,Man,Kvinna,Man,Icke-binär,Kvinna,Kvinna,Icke-binär,Man,Kvinna,Kvinna,Kvinna,Icke-binär,35,Man,4,"Stämmer helt
7",6,"Stämmer inte alls
1","Stämmer inte alls
1","Stämmer inte alls
1","Stämmer inte alls
1","Stämmer inte alls
1",3,"Stämmer inte alls
1","Stämmer helt
7","Stämmer helt
7",4,"Mycket bra
7",4,Någon gång om året,Någon gång om året,"Nej, känner ingen som använder hen som sitt pronomen",,Samhällets syn på genus,Nej,Nej,"Ja vissa av ansiktena kunde verkligen vara både ”man” och ”kvinna”. Hjärnan hoppade fram och tillbaka mellan alternativen ",aczsmcr,,
2020-11-12 06:57:00,2020-11-12 07:04:18,IP Address,147.186.189.200,100,438,True,2020-11-12 07:04:19,R_1GThMbb5NUivbUM,,,,,59.328704833984375,18.0717010498046875,anonymous,EN,Jag har läst informationen ovan och samtycker till att vara med i studien,,,,Han paddlar ståbräda,Han paddlar på vattnet,Han saknar torso,,,,,,,Man,Man,Icke-binär,Man,Man,Icke-binär,Kvinna,Kvinna,Kvinna,Kvinna,Man,Icke-binär,Kvinna,Icke-binär,Kvinna,Man,Kvinna,Kvinna,Kvinna,Kvinna,50,kvinna,"Stämmer inte alls
1","Stämmer helt
7","Stämmer helt
7","Stämmer helt
7","Stämmer inte alls
1","Stämmer inte alls
1","Stämmer inte alls
1",3,"Stämmer inte alls
1","Stämmer inte alls
1",3,"Stämmer inte alls
1","Mycket bra
7","Mycket bra
7","Mycket bra
7",Någon gång per vecka,Dagligen,"Ja, en kollega",,Hur vi genom utseendet bedömer andra människor,Nej,Nej,Nej,bcdanxr,,
2020-11-12 07:26:47,2020-11-12 07:38:01,IP Address,83.233.18.75,100,674,True,2020-11-12 07:38:02,R_shVMDsGHtBwy6lP,,,,,55.7028045654296875,13.1927032470703125,anonymous,EN,Jag har läst informationen ovan och samtycker till att vara med i studien,,,,,,,,,,Personen paddlar,Personen håvar,Personen trycker upp något med ett spett,Man,Man,Kvinna,Man,Man,Vet ej,Kvinna,Kvinna,Icke-binär,Kvinna,Kvinna,Icke-binär,Kvinna,Icke-binär,Kvinna,Man,Kvinna,Kvinna,Kvinna,Kvinna,34,Man,5,2,4,6,"Stämmer inte alls
1","Stämmer inte alls
1","Stämmer inte alls
1","Stämmer inte alls
1","Stämmer helt
7","Stämmer inte alls
1","Stämmer helt
7","Stämmer inte alls
1",2,"Mycket dåligt
1","Mycket dåligt
1",Aldrig,Någon gång i månaden,"Nej, känner ingen som använder hen som sitt pronomen",,En studie kring könsidentiteter,Nej,Nej,Några var svåra att bedöma utifrån ett utseende men detta talar inte om hur en person väljer att identifiera sig som.,adpyanz,,
2020-11-12 07:27:02,2020-11-12 07:40:39,IP Address,213.102.81.221,100,817,True,2020-11-12 07:40:40,R_31jCIuf9mW763AV,,,,,57.7071990966796875,11.966796875,anonymous,EN,Jag har läst informationen ovan och samtycker till att vara med i studien,,,,,,,paddlar kanot,paddlar på vindsurfinbräda,ute och nuter i guds fria natur,,,,Man,Man,Kvinna,Man,Man,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Man,Kvinna,Kvinna,Kvinna,Kvinna,70,man,"Stämmer inte alls
1","Stämmer helt
7",6,5,"Stämmer helt
7",5,5,5,2,5,5,"Stämmer inte alls
1",6,5,6,Någon gång om året,Någon gång om året,"Nej, känner ingen som använder hen som sitt pronomen",,att visa att avvikande beteende är också människor,"ja ",nej,nej,akhrtzf,,
2020-11-12 07:33:47,2020-11-12 07:49:33,IP Address,90.129.197.48,100,945,True,2020-11-12 07:49:33,R_1eQUdgoVguf4hZh,,,,,59.3332977294921875,18.0500030517578125,anonymous,EN,Jag har läst informationen ovan och samtycker till att vara med i studien,,,,,,,"Hen står på en Sup-bräda och paddlar ","Hen gör rent poolen. ","Hen drar åt en stor bult ",,,,Man,Man,Man,Man,Man,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Man,Kvinna,Kvinna,Kvinna,Man,Man,Kvinna,Kvinna,Kvinna,Kvinna,34,Man,2,3,4,3,"Stämmer helt
7","Stämmer inte alls
1","Stämmer inte alls
1",4,"Stämmer inte alls
1","Stämmer inte alls
1","Stämmer helt
7","Stämmer helt
7","Mycket bra
7","Mycket bra
7",5,Någon gång om året,Någon gång om året,"Nej, känner ingen som använder hen som sitt pronomen",,"Studie om könsroller ","Mitt undermedvetna tror jag kände så ",Vet ej,Nej,aedgneb,,
2020-11-12 08:45:35,2020-11-12 08:54:05,IP Address,90.129.197.48,100,509,True,2020-11-12 08:54:05,R_1eOCdTKi0wAuuNS,,,,,59.3332977294921875,18.0500030517578125,anonymous,EN,Jag har läst informationen ovan och samtycker till att vara med i studien,,,,Hen paddlar på en sup-bräda,Hen gör rent poolen,"Hen dra fast en stor bult ",,,,,,,Man,Man,Man,Man,Man,Man,Kvinna,Kvinna,Man,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Man,Kvinna,Kvinna,Kvinna,Kvinna,34,Man,5,2,3,3,"Stämmer helt
7","Stämmer inte alls
1","Stämmer inte alls
1","Stämmer helt
7","Stämmer inte alls
1","Stämmer inte alls
1","Stämmer helt
7","Stämmer helt
7","Mycket bra
7","Mycket bra
7","Mycket bra
7",Någon gång om året,Någon gång om året,"Nej, känner ingen som använder hen som sitt pronomen",,Könsroller,Undermedvetet tror jag,Förmodligen inte,Nej,aedgneb,,
2020-11-12 08:55:45,2020-11-12 09:01:59,IP Address,84.216.129.35,100,373,True,2020-11-12 09:01:59,R_1I9MoonlnS8Au8F,,,,,59.328704833984375,18.0717010498046875,anonymous,EN,Jag har läst informationen ovan och samtycker till att vara med i studien,,,,,,,,,,Står på en bräda,Tar sig fram med en paddel,Kan även soppa på marken,Man,Man,Man,Man,Man,Icke-binär,Kvinna,Kvinna,Man,Kvinna,Man,Icke-binär,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Icke-binär,42,Kvinna,5,4,5,5,"Stämmer helt
7",5,"Stämmer helt
7","Stämmer helt
7",6,5,5,"Stämmer inte alls
1","Mycket bra
7",5,"Mycket bra
7",Dagligen,Dagligen,"Ja, annan person (ange)",Föreläsare på högskolan,"Genusperspektiv ",Nej,Nej,En del ansikten kunde vara både hon och han,ayzbnty,,
2020-11-12 08:48:50,2020-11-12 09:09:27,IP Address,82.196.111.138,100,1236,True,2020-11-12 09:09:27,R_SQ4gQhxkvJp0tSV,,,,,59.328704833984375,18.0717010498046875,anonymous,EN,Jag har läst informationen ovan och samtycker till att vara med i studien,,,,,,,Hen paddlar men en lång paddel,Hen står upp och paddlar,Hen står lätt framåtlutad,,,,Man,Man,Man,Man,Man,Man,Kvinna,Kvinna,Vet ej,Vet ej,Vet ej,Kvinna,Vet ej,Kvinna,Vet ej,Vet ej,Kvinna,Kvinna,Kvinna,Vet ej,60,Kvinna,5,4,2,6,2,"Stämmer inte alls
1","Stämmer inte alls
1",2,3,2,5,3,3,3,3,Någon gång i månaden,Någon gång i månaden,"Nej, känner ingen som använder hen som sitt pronomen",,Könsidentitet,Nej,Nej,Nej,bevwzfq,,
2020-11-12 10:34:24,2020-11-12 10:41:02,IP Address,78.70.127.175,100,397,True,2020-11-12 10:41:02,R_Om1UB0vhr2zh3bj,,,,,58.380706787109375,12.323394775390625,anonymous,EN,Jag har läst informationen ovan och samtycker till att vara med i studien,,,,Han ror,Står på en bräda,Han skejtar,,,,,,,Man,,Kvinna,Man,Man,Man,Man,Kvinna,Man,Kvinna,Kvinna,Man,Kvinna,Kvinna,Kvinna,Man,Kvinna,Kvinna,Kvinna,Kvinna,76,Kvinna,"Stämmer helt
7",6,6,"Stämmer helt
7","Stämmer helt
7","Stämmer helt
7","Stämmer inte alls
1","Stämmer helt
7",4,"Stämmer helt
7",4,"Stämmer inte alls
1",4,4,4,Aldrig,Någon gång i månaden,"Nej, känner ingen som använder hen som sitt pronomen",,"Människor ",Nej,Nej,Nej,bfnoayw,,
2020-11-05 07:12:07,2020-11-05 10:41:27,IP Address,5.10.11.179,81,12559,False,2020-11-12 10:41:27,R_3ktFXbFa7AvCAVr,,,,,,,anonymous,EN,Jag har läst informationen ovan och samtycker till att vara med i studien,,,,,,,,,,,,,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,Kvinna,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
