30f1f,30f2f,30f3f,30f4f,30f5f,30f7f,30f6f,30f8f,30f9f,30f10f,50f1f,50f2f,50f4f,50f3f,50f5f,50f6f,50f7f,50f8f,50f9f,70f10f,70f8f,70f9f,70f7f,70f6f,70f5f,70f4f,70f3f,70f2f,70f1f,50f11f,50f10f,30f1m,30f3m,30f3m,30f4m,30f5m,30f7m,30f6m,30f8m,30f9m,30f10m,50f1m,50f2m,50f4m,50f3m,50f5m,50f6m,50f7m,50f8m,50f9m,50f11m,50f10m,70f1m,70f2m,70f3m,70f4m,70f5m,70f6m,70f7m,70f8m,70f9m,70f10m,Q262,Q264,Q270
,2,4,5,,6,,,4,,6,5,6,"

7",3,,,,,,,6,4,,"

7",,6,,3,,,,"

7",4,,,,,,5,6,2,5,"
1","
1",,,5,,6,,,,2,,"
1",,2,4,,2,,33,Kvinna ,
,,,,,,3,"
1","
1",,4,,,4,"
1",,,2,,,,6,4,4,3,,"

7",,2,4,3,5,,,,,4,,,5,,4,"
1",,,6,2,,,3,3,3,,,,2,,3,3,,2,"
1",21,Kvinna,"Intressant studie, uppfattade många ansikten som androgyna vilket gjorde det lite svårt att bedöma"
2,,2,"
1",,,,2,2,,,,,5,"
1",,2,,"
1",,4,,,3,5,,5,4,2,,,5,,,,"

7",,5,6,6,,2,5,2,,,,5,3,4,,,,"
1",,,"
1",,2,2,,,45,Kvinna ,
"
1",,2,"
1",,2,,2,,,,4,3,,,,,,2,4,5,3,,3,,,4,5,,4,,,5,4,4,4,3,,4,,,2,,,,,,4,,3,,,,3,2,,"
1",,2,2,2,,27,kvinna,
,2,,,"
1",6,3,,,,,,6,"

7",3,,,5,4,6,,"

7",5,6,,,,"

7",,,2,,5,3,,,3,,6,"

7",,2,,2,,4,,2,4,,2,,3,"
1",,,,,2,"
1",,,55,Kvinna,
"
1",,,,"
1",,,"
1",,"
1",,"
1",,,"
1",,3,,2,,"

7",,6,2,2,5,,6,2,,,,"

7",,,,5,,"

7",,"

7",,6,,,,,,3,6,2,,6,"
1",2,,,4,,"
1","
1","
1",42,Kvinna ,
,"
1",,"
1",,,,"
1","
1","
1",,"
1",,5,"
1",3,5,6,"
1",,,,"
1",,6,5,,,,,,,,2,,,,2,,"

7",,"
1",,,"
1",,2,,,6,"
1",4,,,"
1",,"
1","
1",,"
1","
1","
1",73 år,Kvinna,Det var lite svårt! 
"
1","
1",2,,,5,"
1",,,,,,,"

7",6,,,,2,,"

7",,,5,"

7",6,6,,3,,"
1",6,"

7",3,,6,,,,6,"

7",2,,,"
1",,3,,,4,"
1",,,2,"
1","
1",,,,,,"
1",21,Kvinna,Lätt att förstå och gillar att den var kortfattad och inte tog sån lång tid
"
1",,2,2,2,,,,,3,,,,4,3,,6,,3,5,,5,,4,,,,5,,2,3,,,5,5,,2,,,,,,,,2,,4,,3,6,,,"

7",,3,5,"
1",,5,"
1",2,"
1",21,Kvinna,"Jag reagerade på att ni hade ett udda antal svarsalternativ (7st). Det gör att man inte tvingas att välja ’sida’, dvs om något är kvinnligt/icke kvinnligt respektive manligt/icke manligt. Jag vet inte om det var medvetet eller inte, men min åsikt är att det hade varit bättre med ett jämt antal, så man tvingas ta ställning. Det är också spännande att ni inte ställer kvinnligt som motsats till manligt och att ett ansikte som anses vars kvinnligt också kan vars manligt. "
,,3,"
1","
1",4,,,,,,,5,4,,,,4,3,,5,,6,5,6,,4,5,3,,,4,5,,6,6,,,6,,6,"
1",5,,2,5,2,5,,,,4,,,,,,3,2,,,,60,Kvinna,
,"
1",,,"
1",,3,,,,,,6,,2,2,4,,2,"

7",,"

7",6,5,6,,,6,4,,,,"

7",,,,,4,5,,6,4,3,,3,6,,3,6,5,,4,4,,,2,3,,,,,,27,kvinna,
,,5,,"
1",,,"
1",,,6,3,,,3,5,3,,4,5,,"

7",,,"

7",6,,,3,,3,4,,4,5,5,3,,5,,,"
1",,2,,,4,4,,3,,,2,"
1",,2,"
1",,,,,,49,kvinna,
,,3,2,,,,2,4,,,,,6,5,5,6,6,4,6,6,,,,,,6,,2,,5,6,,6,,,4,5,6,5,6,,5,,,,,4,,,,,5,,,,2,4,3,3,2,,44,Man,"Svårt att svara utan en definition av manlig och kvinnlig.
Jag utgick från biologisk definition och inte social. "
,2,,"
1",2,5,2,,,,,2,,6,3,,,,2,"

7",6,"

7",5,,,,,,,5,2,"

7",6,5,"

7",6,5,4,,,,,6,,3,6,,,,5,2,,"

7",,,2,,,3,,,,35,Kvinna,"Det var roligt, ganska svårt att avgöra, inga konstiga formuleringar."
"
1",,,,"
1",,,"
1",,"
1",,,,4,,3,2,4,2,6,4,6,2,,5,,5,,,,,,6,,,,2,5,,5,6,,2,,,4,2,,"
1",4,,,,"
1",,,,2,,2,"
1","
1",29,Kvinna,
,4,,,,,3,,,,6,3,,6,,5,4,,6,"

7",6,"

7",,,,"

7",6,"

7",,6,,,,4,,5,,4,5,3,5,2,,,2,,,,3,5,,,4,"
1",3,,,3,,"
1",,,38,Man,Jobbar med barn och ungdomar. Känner mig verkligen säker på vilket kön det är. Men detta var lite klurigt då man inte ser håret eller i färg.
"
1",3,2,,2,,3,,4,4,6,,,,,,3,,,5,,,6,5,4,,,,4,,4,,5,"
1",3,5,"
1",3,,4,5,,,,,2,,,"
1",,"
1",,4,"
1",,,"
1",,"
1",,,,25,Kvinna,"Fanns inga stereotypiskt manliga med men det fanns stereotypiskt kvinnliga. 
Det var lite udda. Ingen i formuläret var vad jag kallar ”manlig”. "
,,,,"
1",4,2,,,"
1",5,5,,4,,3,2,,4,,,6,,,,,6,,3,5,2,,6,5,5,,2,,4,,,,,,"
1",5,3,,,4,"
1",4,,,2,"
1",,3,,,"
1",,27,Man,
"
1","
1",,,,5,,,"
1",,,"
1",2,,,,,2,,5,5,"

7",,3,,,5,6,,2,2,5,,,,5,2,,,,5,,,"
1","
1",3,4,2,,2,2,,4,,,"
1",,"
1",,,,"
1",48,Kvinna,
,,2,,,5,3,"
1",2,,,2,,5,4,,,5,,,5,,4,,6,,"

7",,,5,"
1","

7","

7",,6,,3,,,,5,2,,,4,,,3,,5,2,6,,,3,,,2,3,,,2,43,Kvinna,
,,,,,,"
1",3,,,6,,3,4,,"
1",,,2,,3,6,,3,6,6,6,6,,4,,5,6,,4,,2,,5,3,5,,3,"
1",,6,,,2,3,2,3,,"
1",,,,,,,,,35,Kvinna,
,,,3,,2,,,2,2,,4,,,4,3,2,,,,"

7","

7",,"

7",,"

7","

7","

7",,5,,"

7","

7",,,"

7",4,,"

7",,"

7",,,2,,,4,,,,,5,4,2,,4,"
1",,3,,"
1",,22,Kvinna,
"
1","
1",2,,"
1",,,,,"
1","

7",2,,,"
1",,2,,,,,,,6,"

7","

7",,"

7",,3,2,,,2,3,4,,2,,3,3,,2,,,,,2,2,,,2,2,"
1",,,"
1",2,"
1",,,,54,Kvinna,
3,,5,,2,,2,3,4,,6,5,,,4,5,,,,,,,6,,6,,5,"

7",,6,,6,,,,"

7",,5,,,5,2,,"
1",,4,,6,4,2,2,,,"
1",2,,2,,,3,,,23,Man,
"
1",,2,,3,4,5,,,2,,,4,,,,3,,4,"

7",,2,,5,6,,,,2,4,,5,5,,5,5,,4,5,4,3,2,4,,,,3,,,4,,,,2,,,"
1",,2,,,,26,man,
,2,,2,,,,4,4,,,,4,5,5,5,,,,,,"

7","

7",6,"

7",6,,"

7",,,4,,2,3,4,4,,,2,,,4,,"
1",,6,,,5,,"
1",5,6,"
1",,,,,3,,,"
1",27,Kvinna,Allt bra
,,,,,5,,3,,,"

7",,"

7",,5,5,,"

7","

7","

7",6,,6,6,,,,6,6,6,,,"

7",,,"

7",,5,"

7",,"

7",,,"
1",4,4,,5,"
1",,,,,,"
1","
1",,"
1",,"
1",,2,21,Kvinna,
,,,"
1","
1",,"
1",,2,"
1",6,,,5,3,5,3,,3,,,"

7",4,5,,,,6,,,,,,6,6,,4,,,4,,"
1",,3,,,5,4,,5,2,,,,2,"
1",2,2,,,"
1",,56,Kvinna,
,"
1",2,,,,"
1",,,"
1",,4,,,,3,,5,5,,"

7",,5,3,,5,,,"
1",6,2,6,,6,,,"
1",,"

7",4,"

7",,,,,,5,"
1",2,,"
1",,,,"
1","
1",,"
1",2,,,"
1",22,Kvinna,
,"
1",4,,,,4,"
1",,,,3,6,,,3,5,5,,,,,,5,,6,5,"

7",,6,2,,"

7",5,6,,5,,"

7",,,2,,3,,,4,3,3,,,6,5,"
1",,,"
1",,5,,,,34,Kvinna,
,,,,,5,,,"
1","
1",,,6,3,,,4,5,,"

7",,,4,,"

7",6,,6,"
1",6,"
1",,6,,5,"

7",4,6,,"

7","

7",,,"
1",4,,,3,,5,,5,,,,,"
1",2,,,"
1",,53,Kvinna,
,,3,"
1",,,,2,2,,5,3,,5,2,3,5,5,3,,,,4,5,,,,6,,,,,,4,6,,,5,,,,,,4,3,5,5,5,,4,,5,,,"
1",,"
1",,,"
1","
1","
1",38,kvinna,
"
1","
1",2,"
1",,,,"
1",,,"

7",,,,2,,3,4,4,,,,5,6,6,,5,,,,"
1",3,,4,"

7",,,2,,,,"
1","
1",,"
1",,,2,,,,5,3,,2,"
1","
1","
1",,,"
1",,37,Kvinna,
,,,"
1",2,,,"
1",,,,"
1",,"

7",5,"

7",,,,"

7",,"

7","

7",,"

7",,"

7","

7",3,"

7",,6,,,"

7","

7","
1",,"

7",5,,"
1",,"
1",,,"
1",4,,,"
1",,,,"
1",2,,,,,"
1","
1",26,Kvinna,Lite oklar graderingsskala. Jag ser ju direkt om ett ansikte känns manligt eller kvinnligt men jag förstod inte om jag sen skulle bedöma om det som  bara för att det var en kvinna eller fundera på hur klassiskt kvinnligt ansiktet var och gradera därefter.
,,3,,"
1",4,"
1",,,,"

7",3,,,4,,,3,,"

7",,"

7",,,6,"

7",6,,4,3,,6,,,,,,,6,,,3,"
1",,,"

7",,"
1",2,,,3,3,,3,,4,"
1","
1","
1","
1",,33,Kvinna ,
,,,,"
1",3,"
1","
1",,,5,2,,,"
1","
1",,,"
1",5,2,,,,5,,,6,"
1",4,,,,,,5,2,,6,,5,"
1",,2,3,4,,3,,4,,4,3,,3,2,"
1",,,,,,50,Kvinna,
,"
1",3,"
1","
1",,"
1",,,"
1",5,,6,,,3,,6,,"

7",,,,5,,,,6,,"

7",3,,,,,,,"

7",5,,"

7",3,5,,,,4,,"
1",,,,5,"
1","
1",,"
1",3,2,,"
1","
1",35,Kvinna,
,"
1",3,,"
1",6,2,"
1",,,6,6,,6,2,,4,6,5,,,,,,,,6,5,,,,5,6,,,"

7","
1",,4,,4,"
1",,"
1",,3,,,,,,,3,,,"
1",,"
1","
1","
1",,"
1",16,Kvinna,
,"
1",4,,,3,,,,,5,,6,6,2,,5,,,5,,"

7",3,5,,,5,5,,,3,6,5,,,"

7",3,5,5,6,,,,,,5,,3,3,,2,4,5,,,,,4,4,,,,32,Kvinna,"Det var svårt att bedöma kvinnligt och manligt, för det är så mycket som kan tolkas in i de begreppen. Det hade varit lättare med feminint/maskulint tror jag. Det är inte lika mycket stereotyper som blandas in då."
,"
1",3,"
1","
1",,"
1",,2,,,,,,,4,,5,2,"

7",,"

7",3,,"

7",,"

7",,2,,,,"

7",2,,,,,5,3,,"
1",5,,,4,2,3,,,"
1",3,"

7",,,"
1",,,3,,,"
1",25,Kvinna ,
3,3,,,2,,3,2,,2,5,,,,3,5,4,4,4,6,,,6,,6,,,,,,,6,6,,5,,4,,5,,6,,4,3,3,,,,,5,4,,,,4,3,,5,,,2,,39,Kvinna,
2,2,,3,,,,,,,6,3,,6,,,,5,,,"

7",,5,,6,6,5,6,4,5,,,6,5,5,,,,,,,3,,2,,,,5,,4,,4,,"
1",3,3,,3,,"
1","
1",2,39,Kvinna,
,,,,,5,6,2,2,,,,6,,2,5,,,,,"

7","

7",6,6,"

7","

7",,,2,,"
1","

7",,,"

7",6,4,,,,,,,2,3,,2,3,,,,"

7",5,"
1",,,"
1",,3,2,,2,60,Kvinna,
3,,,,,5,"
1",2,"
1",2,5,,,6,,5,5,,,"

7",5,,,5,,,,6,3,,,,"

7",,,,2,,6,,"

7",2,,"
1","
1","

7",3,6,5,,2,6,,2,"
1",,,,,,,,28,Kvinna,"Ibland var ansiktena manliga men ögonen kvinnliga och det bidrog till större del att jag uppfattade helheten som mer kvinnligt utseende tror jag. När uppgiften blev tvärt om, med betyg om manligt utseende var man så van att tänka att kvinnliga var längre ned på listan så det kan hända att jag gjorde fel en gång."
,,,,"
1",,,,"
1","
1",,,5,,"
1",,,,2,"

7","

7","

7",5,"

7",6,,"

7",,3,6,,6,"

7","
1",,5,3,,,,,,2,"
1","
1",,,,,,"
1",4,5,,"
1","
1","
1",,,,,"
1",30,Kvinna,
,"
1",,2,"
1",5,3,,,,,,,,"
1",5,,,4,6,6,,5,,,,6,6,5,,"
1",5,5,3,5,,,5,,,,"
1",2,,,,,3,,"
1","
1",3,3,,"
1",,"
1",,"
1",,,,41,Kvinna,Saknade några bilder med mycket könade bilder såsom med skägg eller fyllda läppar. Men det var kanske meningen att de inte ska vara med.
2,"
1",,,"
1",4,,2,2,,4,,,,,,4,4,5,,,,,,6,"

7",6,,3,,"
1",,,,6,6,,6,"

7",,"

7",,,3,,4,,,4,,5,6,6,3,,2,,,,4,,"
1",38,Kvinna ,
,,,,,2,2,,2,"
1",6,4,,4,2,,2,3,,6,,,4,,,4,,6,,4,,,"

7",5,5,6,4,,6,6,,,,,3,,4,,3,,,3,5,,2,2,,,,,,"
1",24,Kvinna,
"
1",,2,,,,,"
1",,,5,,5,5,2,4,6,5,,5,,,4,2,,6,,,3,,,,,,2,4,"
1",2,,,,,2,,"
1",,"
1",,,2,,,"
1","
1","
1",,"
1","
1",,"
1",,"
1",23,Kvinna,
2,"
1",,,3,4,,,,2,4,,,5,6,,4,,,6,5,"

7",,6,,6,,,,,2,6,,5,,,,6,,5,,3,4,,,,6,4,3,,2,4,,"
1",2,,,,3,4,,,27,Kvinna,
"
1",,,,2,,3,2,,"
1",,3,,,,,,,,6,,,5,6,6,5,5,"

7",,6,3,6,"

7",,6,,4,,,,"

7",,3,,,,,,2,4,3,,4,,4,,2,,4,,"
1","
1",24,Man,
"
1",,3,"
1","
1",3,"
1",,,,,2,4,,2,,2,2,,,3,"

7",5,,,,5,,,,,6,,,6,,,,"

7","

7",4,,,,,4,3,3,,2,2,,2,"
1",,,2,2,,2,,,23,kvinna,
,"
1",,,,,,,"
1",,5,"
1",5,"

7",2,,4,,,,6,"

7",4,4,,,4,,2,5,,6,,4,5,,,,,,"

7",,4,,2,,4,3,,5,2,5,,,4,,,,,3,2,"
1",62,Kvinna,"Enkelt att förstå, svårt att sätta nummer då man ser båda könen i bilderna 😁"
,,2,,"
1",2,,,,"
1",,,5,3,3,,,,2,6,6,"

7",3,,6,,,6,2,,,,,5,,6,,,,,,2,3,3,,6,4,4,,4,3,5,,,,2,2,,2,,"
1",,33,Kvinna,Studien var tydlig. Väldigt svårt att sätt en gradering bara. Kanske något för många poängalternativ. Lycka till!
,,2,3,"
1",3,2,2,"
1",,,,2,3,,,3,,2,5,,6,4,,5,,,,,,,,3,,3,3,,4,2,,3,2,,,,3,2,,2,,2,,,,,,"
1",,2,"
1","
1",,30,Kvinna,
2,2,,,,2,,2,,,,,,,3,,,4,2,5,,5,3,,3,4,4,4,,,3,,,5,6,,,,6,5,5,,3,5,3,,4,,3,,4,,4,,,,4,2,3,,,,25,Man,
,"
1",2,2,"
1",,3,,,,4,,3,5,,4,,3,,,4,5,,,3,5,,,2,,,,4,,3,,,,4,4,5,2,,3,,,,,,,,3,3,,2,2,2,,2,,"
1",2,39,Kvinna ,
"
1","
1",,,"
1",,"
1","
1",,2,,,,,2,,,,,"

7","

7","

7","

7",5,"

7","

7",,5,,,,,"

7",,,"

7",2,,,"

7",6,"
1",,,"
1",,5,,3,,,5,"

7",,"
1",,,3,3,,"
1",,22,kvinna,
,"
1",4,,,4,"
1","
1",3,,,,,4,4,,,,,,6,5,2,4,6,4,,5,,,,,,2,,,,3,,4,5,2,2,2,,,,6,,,,4,3,,"
1","
1",2,,,"
1","
1",,35,Kvinna,
,,5,,"
1",6,,"
1",2,,5,,6,,,,3,4,,,"

7","

7",,,5,"

7","

7",,,"

7",,5,,4,,,,,,"

7","

7",2,6,,"
1",4,6,,,,"
1",,,"
1",2,,2,3,,,"
1",,23,Kvinna,
"
1",,,"
1",,,,"
1",,"
1",2,,,,"
1",,2,,,,4,5,,2,4,,"
1",4,3,,"
1",,,2,2,,"
1",2,2,,,"
1",,,"
1",2,2,"
1","
1",2,2,,,,,,,3,,,,"
1",52,Kvinna,
2,,,,2,,3,2,2,2,,,3,3,,3,3,4,,5,4,,,,,,5,,,4,,5,,,,,5,5,6,,6,,4,4,,,5,4,4,5,,,,4,,,3,,,3,3,,27,Man,
2,"
1",,,,5,,"
1",2,"
1",5,,6,,2,,5,,4,,5,"

7",,5,,,5,,,,,,,5,3,6,2,,6,,5,,,3,,5,,,3,5,2,,,2,,2,3,2,,,,,24,Kvinna,
"
1","
1",,,,4,"
1",,2,3,,"
1",,,,,,,4,6,"

7","

7",,,6,6,"

7",6,,,,,6,,,5,,5,6,4,5,,,,2,,,3,3,6,,,4,,3,2,,,2,,"
1",,53,Kvinna,
,2,,3,,,3,2,3,"
1",,2,3,3,,,,5,4,4,,,,,4,,,5,,4,,6,,4,5,6,,,,3,,,"
1",,4,2,4,"
1",,,2,,,,2,3,,,,"
1",,3,50,Kvinna,Tycker ett svarsalternativen skulle varit på en skala ”horisontellt” istället för ”vertikalt” då det blir lättare att ange... På mobilen fick jag nu skrolla för att se alternativen och det hade varit en fördel att sett hela skalan i samma bild. Annars intressant studie! 
"
1","
1",2,,,,,2,,,5,,4,4,,,,2,2,3,5,,5,,,,3,5,,3,,4,,,3,,,,"
1",2,5,"
1",,"
1","
1",,"
1","
1",,"
1","
1",,2,,,"
1","
1",,,,,,55,Man,Tack för en stund!
,,,,"
1",3,,,,,,,6,6,2,3,,,5,"

7","

7","

7",2,,,5,,6,5,5,,6,,,,6,2,,6,,,2,,,2,5,,4,2,4,,,4,2,,,2,,,,"
1","
1",40,Kvinna,
,2,,,"
1",2,,2,2,2,,2,,,,,,6,,,"

7","

7",4,,6,,"

7","

7",,"

7",,6,,,,5,4,,,,5,,5,3,,,,5,3,,,5,5,2,,4,2,,"
1","
1",,,44,K,
,,,,,,3,"
1",,,4,,5,6,4,5,,4,2,5,5,,,,,"

7",4,6,,,"
1",5,6,3,,5,,4,5,,6,,,3,,4,,5,,,,,,"
1",3,"
1",,,3,"
1",,,42,Man,
,"
1",,2,,3,4,,,,,,4,,5,2,,4,,,,6,,4,6,4,3,"

7",2,,,5,6,,5,,,2,6,,5,,,,3,3,4,,,6,,,,"
1",,2,"
1",5,3,,,,44,Kvinna,
,2,3,"
1","
1",4,3,,,,,,5,5,4,4,,5,4,,6,,,,5,,,,,5,,,,,,6,,,5,5,,2,,3,2,5,4,,,4,,4,,,2,,3,3,3,,"
1",,49,Kvinna,
3,2,4,,"
1",,,,4,3,,,,,,4,,4,,"

7",,,,4,5,6,,"

7",3,5,,,5,,5,5,,,,,,2,,2,,4,,3,3,3,3,4,3,"
1",,,2,,,2,,,26,Kvinna,
"
1",,5,,,5,,,,"
1",6,5,"

7","

7",4,,,6,4,,,,,,"

7",,,"

7",3,,3,"

7",6,,6,,,,,4,"

7",4,,2,"
1",,,4,3,,,,5,2,3,2,,,,,,2,22,Kvinna,"Väldigt intressant! Provade att scrolla ner så jag ej såg ögonbrynen på vissa, blev ett helt annorlunda synintryck då tycker jag! I övrigt, tydligt och simpelt :) "
"
1","
1",,,,,,2,,3,4,3,5,,"
1",,3,,,,5,6,,4,,,5,6,,4,,,,6,6,"

7",6,,,,,3,5,,,6,4,5,4,,6,4,,,,,,3,,2,,2,24,Kvinna ,
,,,"
1",,,,,2,"
1",,4,,,"
1",3,3,,,3,6,5,,,5,"

7",6,,,5,3,,6,6,,,2,6,,4,,3,,2,2,,,,2,6,,,5,,2,,2,,2,"
1",,,30,Man,"Till eran nästa studie så önskar jag att det inte behövs scrolla upp och ner på skärmen. Och välja en siffra och sedan går det automatiskt vidare. Så man slipper trycka på knappen ""gå vidare""  mvh"
,"
1",,"
1",,,,,,"
1",,"
1",3,"
1",5,"
1",,5,,,6,,,,5,,5,6,"
1",,"
1","

7","

7",,6,"

7",,"

7",,,,"
1",3,2,,4,,,,"

7",,,,"
1",,,"
1","
1",,,"
1","
1",63,Kvinna,
,,"
1",,,4,,,4,,"

7",4,5,5,"
1",,,5,4,,,,4,,5,6,,6,"
1",,,,"

7","

7",,"

7",,,6,,"

7","
1",6,4,,,,,,6,3,5,5,,"
1",,2,,,,,"
1",35,Man,"Kände igen vissa ansikten, uppfattade att dessa upprepades med någon variation men kanske har fel. Vore kul att veta hur man i så fall röstade på de olika variationerna. "
,,3,,"
1",,,,,,,5,6,5,,,,6,3,,6,"

7",4,4,6,6,,,,5,3,6,,5,,6,3,5,,,6,,4,,3,,4,,,5,3,5,,,,2,,2,,,,2,19,Kvinna,
